TimeCreated,Id,MachineName,UserName,IpAddress,Message
11/05/2026 11:13:00,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:13:12,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:13:24,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:13:36,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:13:48,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:14:00,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:14:12,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:14:24,4624,DESKTOP-OHGI1JN,eatangana,10.0.2.204,Logon success
11/05/2026 11:13:03,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:13:15,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:13:27,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:13:39,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:13:51,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:14:03,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:14:15,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 11:14:27,4672,DESKTOP-OHGI1JN,eatangana,,Standard privilege
11/05/2026 08:29:00,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:29:12,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:29:24,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:29:36,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:29:48,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:30:00,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:30:12,4624,DESKTOP-OHGI1JN,svc_backup,10.0.4.51,Logon success
11/05/2026 08:29:03,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:29:15,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:29:27,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:29:39,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:29:51,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:30:03,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 08:30:15,4672,DESKTOP-OHGI1JN,svc_backup,,Standard privilege
11/05/2026 12:40:00,4624,DESKTOP-OHGI1JN,svc_antivirus,10.0.3.170,Logon success
11/05/2026 12:40:12,4624,DESKTOP-OHGI1JN,svc_antivirus,10.0.3.170,Logon success
11/05/2026 12:40:24,4624,DESKTOP-OHGI1JN,svc_antivirus,10.0.3.170,Logon success
11/05/2026 12:40:36,4624,DESKTOP-OHGI1JN,svc_antivirus,10.0.3.170,Logon success
11/05/2026 12:40:03,4672,DESKTOP-OHGI1JN,svc_antivirus,,Standard privilege
11/05/2026 12:40:15,4672,DESKTOP-OHGI1JN,svc_antivirus,,Standard privilege
11/05/2026 12:40:27,4672,DESKTOP-OHGI1JN,svc_antivirus,,Standard privilege
11/05/2026 12:40:39,4672,DESKTOP-OHGI1JN,svc_antivirus,,Standard privilege
